PlayerName,TotalScore,Difficulty,GameTime,BoardSize,TotalMines,TotalClicks,BasePoints,TimeBonus,EfficiencyBonus,SizeMultiplier\nHOST,989,Medio,22.97,5x5,12,3,300,323,366,1
HOST,1866,Medio,10.02,5x5,12,1,300,366,1200,1
HOST,565,facil,30.17,5x5,5,3,100,99,366,1
bryan,1464,facil,10.59,5x5,5,1,100,164,1200,1
tairon,1446,facil,19.55,5x5,5,1,3432,0,-873860224,32668
